id;lang_key;title;description;status;min_followers;max_followers;target_countries
1;DE;open-source;next-generation virtual;OPENED;63910;69995;Persevering
2;EN;reinvent red;collaborative;CLOSED;50198;67428;syndicate Personal Loan Account online
3;IT;Chief Swaziland;out-of-the-box;CLOSED;82933;3504;Soap Avon Berkshire
4;IT;user-centric Savings Account;monitor;OPENED;1728;33425;Alabama Locks
5;FR;Cambridgeshire El Salvador sensor;Savings Account Frozen benchmark;CLOSED;9216;33320;SAS
6;AR;Kiribati;Home Loan Account Generic Cotton Tuna metrics;OPENED;82764;7304;invoice
7;EN;hack Books District;firewall Tasty Frozen Shirt;CLOSED;76904;16822;programming Tools
8;AR;matrix Minnesota Personal Loan Account;1080p;OPENED;27036;88479;Investment Account
9;DE;value-added program;haptic;CLOSED;6296;25010;Unbranded Fresh Towels
10;FR;sensor;Toys;OPENED;24379;39106;withdrawal attitude-oriented
