id;lang_key;title;description;status;min_followers;max_followers;target_countries;user_id;CREATED_BY;CREATED_DATE
1;DE;open-source;next-generation virtual;OPENED;63910;69995;Persevering;1;user;2020-10-15T10:18:24.276+02:00
2;EN;reinvent red;collaborative;CLOSED;50198;67428;syndicate Personal Loan Account online;3;user;2020-10-15T10:18:24.276+02:00
3;IT;Chief Swaziland;out-of-the-box;CLOSED;82933;3504;Soap Avon Berkshire;1;user;2020-10-15T10:18:24.276+02:00
4;IT;user-centric Savings Account;monitor;OPENED;1728;33425;Alabama Locks;4;user;2020-10-15T10:18:24.276+02:00
5;FR;Cambridgeshire El Salvador sensor;Savings Account Frozen benchmark;CLOSED;9216;33320;SAS;3;user;2020-10-15T10:18:24.276+02:00
6;AR;Kiribati;Home Loan Account Generic Cotton Tuna metrics;OPENED;82764;7304;invoice;1;user;2020-10-15T10:18:24.276+02:00
7;EN;hack Books District;firewall Tasty Frozen Shirt;CLOSED;76904;16822;programming Tools;2;user;2020-10-15T10:18:24.276+02:00
8;AR;matrix Minnesota Personal Loan Account;1080p;OPENED;27036;88479;Investment Account;1;user;2020-10-15T10:18:24.276+02:00
9;DE;value-added program;haptic;CLOSED;6296;25010;Unbranded Fresh Towels;2;user;2020-10-15T10:18:24.276+02:00
10;FR;sensor;Toys;OPENED;24379;39106;withdrawal attitude-oriented;1;user;2020-10-15T10:18:24.276+02:00
