id;country;birthday;phone;role
1;British Indian Ocean Territory (Chagos Archipelago);2020-09-02T17:48:27;20659;INFLUENCER
2;Mali;2020-09-03T03:48:48;48283;ADMIN
3;Guadeloupe;2020-09-02T16:22:05;76390;ADMIN
4;San Marino;2020-09-03T06:46:08;17080;ADMIN
5;Kenya;2020-09-02T17:20:46;61470;INFLUENCER
6;Maldives;2020-09-02T15:03:14;75016;ADMIN
7;Slovenia;2020-09-03T02:43:47;61892;INFLUENCER
8;Uruguay;2020-09-03T08:24:17;44930;OTHER
9;Vanuatu;2020-09-03T02:14:04;46891;INFLUENCER
10;United States Minor Outlying Islands;2020-09-03T00:14:16;1224;INFLUENCER
